"","KIT.ID.Number","Borough","Zipcode","Date.Collected","Received.Date","First.Draw.at.the.tap.Lead.level..mg.l.","First.Draw.at.the.tap.copper.level..mg.l.","source","over_threshold"
"1",1410092,"RIDGEWOOD",11385,"06/07/2014","06/17/2014",0.019,0.089,"compliance",TRUE
"2",1410161,"STATEN ISLAND",10306,"06/07/2014","06/19/2014",0.001,0.145,"compliance",FALSE
"3",1410201,"STATEN ISLAND",10305,"06/07/2014","06/13/2014",0,0.051,"compliance",FALSE
"4",1410007,"NEW YORK",10010,"06/07/2014","06/13/2014",0,0.143,"compliance",FALSE
"5",1410118,"MASPETH",11378,"06/08/2014","06/11/2014",0.004,0.107,"compliance",FALSE
"6",1410193,"STATEN ISLAND",10314,"06/08/2014","06/13/2014",0.001,0.162,"compliance",FALSE
"7",1410017,"KEW GARDENS",11415,"06/08/2014","06/12/2014",0,0.061,"compliance",FALSE
"8",1410143,"STATEN ISLAND",10309,"06/08/2014","06/11/2014",0,0.098,"compliance",FALSE
"9",13100232,"FLUSHING",11358,"06/08/2014","06/12/2014",0.007,0.125,"compliance",FALSE
"10",1410056,"BRONX",10461,"06/08/2014","06/11/2014",0.006,0.132,"compliance",FALSE
"11",1410006,"BAYSIDE",11361,"06/08/2014","06/11/2014",0.002,0.203,"compliance",FALSE
"12",1410221,"STATEN ISLAND",10310,"06/08/2014","06/17/2014",0,0.15,"compliance",FALSE
"13",1410189,"STATEN ISLAND",10304,"06/08/2014","06/11/2014",0.026,0.164,"compliance",TRUE
"14",1410177,"STATEN ISLAND",10306,"06/08/2014","06/12/2014",0.004,0.158,"compliance",FALSE
"15",1410145,"STATEN ISLAND",10306,"06/08/2014","06/11/2014",0.001,0.136,"compliance",FALSE
"16",1410100,"FLUSHING",11358,"06/08/2014","06/12/2014",0.019,0.15,"compliance",TRUE
"17",1410140,"STATEN ISLAND",10306,"06/08/2014","06/12/2014",0,0.124,"compliance",FALSE
"18",1410012,"HOLLIS",11423,"06/09/2014","06/12/2014",0.014,0.067,"compliance",FALSE
"19",1410055,"SOUTH RICHMOND HILL",11419,"06/09/2014","06/11/2014",0.005,0.089,"compliance",FALSE
"20",1410020,"STATEN ISLAND",10303,"06/09/2014","06/11/2014",0,0.153,"compliance",FALSE
"21",1410128,"FOREST HILLS",11375,"06/09/2014","06/11/2014",0.005,0.113,"compliance",FALSE
"22",1410220,"STATEN ISLAND",10308,"06/09/2014","06/17/2014",0,0.152,"compliance",FALSE
"23",1410168,"STATEN ISLAND",10312,"06/09/2014","06/17/2014",0,0.119,"compliance",FALSE
"24",1410087,"ELMHURST",11373,"06/09/2014","06/11/2014",0.011,0.158,"compliance",FALSE
"25",1410144,"STATEN ISLAND",10308,"06/09/2014","06/11/2014",0.009,0.154,"compliance",FALSE
"26",1410158,"STATEN ISLAND",10312,"06/09/2014","06/12/2014",0.03,0.114,"compliance",TRUE
"27",1410159,"STATEN ISLAND",10308,"06/09/2014","06/11/2014",0.002,0.104,"compliance",FALSE
"28",1410053,"ASTORIA",11102,"06/09/2014","06/11/2014",0.007,0.118,"compliance",FALSE
"29",1410029,"JAMAICA",11432,"06/09/2014","06/12/2014",0.001,0.081,"compliance",FALSE
"30",1410011,"BRONX",10457,"06/09/2014","06/11/2014",0,0.156,"compliance",FALSE
"31",1410104,"FLUSHING",11354,"06/09/2014","06/18/2014",0.004,0.189,"compliance",FALSE
"32",1410156,"STATEN ISLAND",10306,"06/09/2014","06/12/2014",0.002,0.147,"compliance",FALSE
"33",1410162,"STATEN ISLAND",10306,"06/09/2014","06/12/2014",0,0.152,"compliance",FALSE
"34",1410008,"STATEN ISLAND",10308,"06/09/2014","06/13/2014",0.001,0.113,"compliance",FALSE
"35",1410208,"STATEN ISLAND",10312,"06/09/2014","06/11/2014",0.001,0.106,"compliance",FALSE
"36",1410103,"FLUSHING",11358,"06/09/2014","06/11/2014",0.008,0.107,"compliance",FALSE
"37",1410068,"BROOKLYN",11228,"06/09/2014","06/19/2014",0.024,0.155,"compliance",TRUE
"38",1410165,"STATEN ISLAND",10314,"06/09/2014","06/13/2014",0,0.107,"compliance",FALSE
